Questions,Choice1,Choice2,Choice3,Choice4,Answer
Sunglasses.jpg,Sunglasses,Sun Wines,Hot Wines,Sun Glass Wine,1
Fireman.jpg,Hot Boy,Hot Man,Fireman,Fireboy,3
Toiletpaper.jpg,Restroom,Toilet Paper,Tissue paper,Wet Tissue,2
Frenchfries.jpg,French Fries,Korean Fries,American Fries,China Fries,1
Corndog.jpg,Babycorn Animal,Corn Dog,Corn Animal,Babycorn Dog,2
Pizzahut.jpg,Slice Pizza,Pizza Day,Pizza House,Pizza Hut,4
Coffeebreak.jpg,No coffee day,No Caffine,Coffee Break,Tea Day Only,3
Lovebirds.jpg,Love Birds,Love Sparrows,Heart and Birds,Bird Lovers,1
Babyshower.jpg,Bridal Shower,Spa Day,Showering Day,Baby Shower,4
Facebook.jpg,Bookworm,Storybook,Facebook,Baby's book,3
