Questions,Choice1,Choice2,Choice3,Choice4,Answer
1. The largest planet in our solar system,Earth,Mars,Jupiter,Saturn,3
2. The chemical symbol for gold ,Au,Ag,Fe,Cu,1
3. A country known as the Land of the Rising Sun ,China,India,Japan,South Korea,3
4. The capital city of Australia, Sydney,Melbourne,Brisbane,Canberra,4
5. The largest portion of Earth's atmosphere,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,2
6. The author of "Romeo and Juliet",Charles Dickens,William Shakespeare,Jane Austen,F. Scott Fitzgerald,2
7. The largest mammal in the world,Elephant,Blue Whale,Giraffe,Hippopotamus,2
8. The author of the Harry Potter,J.R.R. Tolkien,George R.R. Martin,J.K. Rowling,C.S. Lewis,3
9. The largest organ in the human body,Brain,Heart,Skin,Liver,3
10. The largest ocean in the world,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,4
