Questions,Choice1,Choice2,Choice3,Choice4,Answer
1. The sum of the interior angles in a triangle.,90 degrees,120 degrees,180 degrees,360 degrees,3
2. A decimal equivalent of fraction 3/5.,0.6,0.3,1.5,0.15,1
3. The value of pi to three decimal places,3.141,3.142,3.143,3.14,1
4. Solve for x: 2x+3=11,4,5,6,7,2
5. The square root of 16,2,4,8,16,1
6. If 5x - 3 = 12 then x = ?,3,5,4,2,3
7. The area of a rectangle with length 8 and width 6 units.,14 square units,48 square units,30 square units,54 square units,2
8. The product of 7 and 9,14,63,16,72,2
9. 1 mile = ? feet, 5280 ,3500 ,4620 , 5300 ,1
10. Square root of 144,10,12,14,16,2
